#,DESIGNATION,COUNTRY,STARS,DURATION,AGE,REVIEW,GIG,SCREENSHOTS
1,Director,United Kingdom,5,3 days,2 months ago,"Outstanding work from start to finish. Communication was clear throughout, deadlines were met, and the API integration works flawlessly. Would hire again without hesitation.",API & Integrations,sample_001.jpg
2,Marketing Lead,Canada,5,1 week,3 weeks ago,"Broke the project into clear milestones and delivered every one on time. The WordPress site looks exactly like what we asked for.",WordPress,sample_002.jpg
3,Founder,Australia,4.3,4 days,1 month ago,"Good work overall on the backup setup. There was a small delay in the middle of the project but it was communicated in advance and the end result was solid.",Backup & Migration,sample_003.jpg
4,Product Manager,Germany,5,2 days,2 weeks ago,"Fast, professional, and exactly what we needed for the web app. Highly recommended.",Full Stack Web Applications,sample_004.jpg
5,CTO,United States,3,5 days,1 month ago,"The API integration technically works but communication was slow at times and we had to follow up more than once to get status updates.",API & Integrations,sample_005.jpg
6,Operations Manager,India,2,1 week,2 months ago,"The migration was delivered late and we had to redo part of the configuration ourselves. Expected better for the price.",Backup & Migration,sample_006.jpg
7,Founder,Spain,5,3 days,3 weeks ago,"The browser extension works perfectly and installation was seamless. Great attention to detail.",Browser Extensions,sample_007.jpg
8,Head of Product,Ireland,5,1 week,1 month ago,"Built us a polished AI-powered website ahead of schedule. Very knowledgeable and easy to work with.",AI Websites & Software,sample_008.jpg
9,Director,Singapore,4,4 days,2 weeks ago,"Solid WordPress build. A couple of revisions were needed before it matched our brand guidelines, but the final result was good.",WordPress,sample_009.jpg
10,CEO,Brazil,5,2 days,1 week ago,"Quick turnaround and excellent quality. Will definitely be a repeat client.",API & Integrations,sample_010.jpg
11,Founder,Mexico,5,3 days,2 months ago,"Really pleased with the final delivery, professional from day one.",N/A,sample_011.jpg
12,Manager,France,5,1 day,3 days ago,".",Full Stack Web Applications,sample_012.jpg
