#,DESIGNATION,COUNTRY,STARS,DURATION,AGE,REVIEW,GIG,SCREENSHOTS,,Country,Count,Count,Gig,Count
1,Director,United Kingdom,5,3 days,2 months ago,"I’ve worked with this developer on numerous projects and continue to come back because of the quality of work delivered. Communication is excellent, deadlines are met, and even complex requirements are handled professionally. They have been instrumental in helping develop and improve my travel platform, consistently providing solutions, fixing issues quickly, and suggesting improvements along the way.  Highly skilled, reliable, and a pleasure to work with. I would not hesitate to recommend them and look forward to continuing our collaboration on future projects. Thank you again for your hard work and dedication.",API & Integrations,001_sptravel2024_United_Kingdom_5-Stars.jpg,,United Kingdom,36,19,API & Integrations,48
2,Director and Business Growth Coordinator,Australia,5,2 weeks,2 months ago,"ICommuneTech was great to work with, they broke down the job into multiple milestones so we can truely grasp each element and ensure its done perfect. Will be using them in the future !",N/A,002_tyler_bizgrow_Australia_5-Stars.jpg,,United States,18,9,N/A,30
3,Director,Jamaica,5,2 days,2 weeks ago,"He is very competent in his work,very polite,understanding and is very efficient…This guy knows his work ..He completely exceeded the expectation..Thank you again",API & Integrations,003_alchidanirafat_Jamaica_5-Stars.jpg,,India,9,3,Backup & Migration,15
4,Founder,Australia,5,1 day,3 weeks ago,Very polite and friendly,API & Integrations,004_ruby_wagwatch_Australia_5-Stars.jpg,,Australia,4,3,Full Stack Web Applications,5
5,Agency Owner,United States,5,8 days,1 month ago,Way to work with,N/A,005_andrewwagley_United_States_5-Stars.jpg,,Saudi Arabia,3,2,Browser Extensions,2
6,CEO,India,5,2 days,3 months ago,"Excellent job done ,thanks for your quick response n service.Good Luck",Browser Extensions,008_neerajmanchanda_India_5-Stars.jpg,,Brazil,3,2,AI Websites & Software,2
7,Director,Senegal,4.3,1 day,4 months ago,"Very professional, I would work with him again",N/A,011_issa221_Senegal_4_3-Stars.jpg,,France,3,2,WordPress,1
8,Director,United Kingdom,5,1 day,7 months ago,"Highly experienced team, who are very helpful and work long hours to make sure they can meet the deadlines set.",API & Integrations,013_edwardrae_United_Kingdom_5-Stars.jpg,,Netherlands,2,2,,
9,Director,India,5,2 days,9 months ago,It was pleasure working with you. Highly recommend.,API & Integrations,015_memonimran1704_India_5-Stars.jpg,,Germany,2,2,,
10,Managing Partner,United States,5,1 day,9 months ago,Amazing to work with! Highly recommend!,API & Integrations,016_brandonrayzor_United_States_5-Stars.jpg,,Israel,2,2,,
11,Director,United Kingdom,5,2 days,10 months ago,Excellent service! Will continue to work with them,API & Integrations,017_cleantech_United_Kingdom_5-Stars.jpg,,Pakistan,2,2,,
12,VP at ReMar Review,United States,5,2 weeks,1 year ago,Excellent job! He always goes above and beyond,API & Integrations,020_brandonross826_United_States_5-Stars.jpg,,Canada,2,2,,
13,CEO,Cayman Islands,5,7 weeks,1 year ago,"ICommuneTech truly IMPRESSED with their software development services, consistently EXCEEDING expectations with a deep understanding of the project needs. Working with them was a breeze, making it an overall stellar experience. Highly recommend! 🙌",Full Stack Web Applications,031_hutchman345_Cayman_Islands_5-Stars.jpg,,Greece,2,2,,
